sid	analysis_id	barcode
ts87	516be2cf-b1b2-44f2-9e20-a1db306d48c6	TCGA-VQ-AA6B-01A-11R-A414-31
ts88	b844f220-cf9e-4ae7-8fb5-5ea72aceaf40	TCGA-QH-A6X8-01A-12R-A32Q-07
ts89	6eee7bf9-2326-496e-88c2-947e8f65ee26	TCGA-BJ-A0ZH-01A-11R-A10U-07
ts90	537fc036-c75d-49c6-b07c-5b4deb9abfb1	TCGA-L5-A4OM-01A-11R-A260-31
ts91	c0a23aca-4b39-4fbc-90c7-3d51a49d81b9	TCGA-AB-2897-03A-01T-0735-13
ts92	12f24151-b403-4a5e-a058-35da1087e920	TCGA-HE-7130-01A-11R-1965-07
ts93	ae7724ab-65fa-4b21-ac83-d7839800464e	TCGA-50-6592-01A-11R-1755-07
ts94	b1429c99-80da-45d7-b95d-4070b1520db0	TCGA-A2-A4RW-01A-21R-A266-07
ts95	afd5f1bf-4270-4e09-90b3-3cc1b5ca914d	TCGA-4X-A9FD-01A-11R-A42C-07
ts96	15eeb5a1-d5c6-4859-b987-cebd4031444c	TCGA-12-5299-01A-02R-1849-01
ts97	6e91a4e5-98d2-43fe-8fed-1c378b763f42	TCGA-DY-A1H8-01A-21R-A155-07
ts98	3418df4c-001c-469a-93fb-3c5b55d05bd8	TCGA-AA-A01X-01A-21R-A083-07
ts99	c39b97c8-26ce-4713-b421-45ae181ff097	TCGA-AA-A01X-01A-21R-A083-07
ts100	57b89869-6885-4f6b-923f-9af38d919fb5	TCGA-AB-2914-03A-01T-0734-13
ts101	4036a99e-8aa3-4770-87ef-f6b7da145e6f	TCGA-AG-3999-01A-01R-1119-07
ts102	dbeaf158-3fa9-40a4-976e-3048aa9b6ae9	TCGA-DX-A6BE-01A-41R-A32Q-07
ts103	4b1320eb-36d0-459c-ac59-bf2e0e6480ab	TCGA-A6-5656-01B-02R-A277-07
ts104	f3605166-32a9-4fb3-9dcc-4ddb688f0d7a	TCGA-61-1907-01A-01R-1567-13
ts105	c1b9d55d-bece-465d-a6ea-3850fefad1b6	TCGA-N6-A4VG-01A-31R-A28V-07
ts106	9adf3e86-8644-4346-a00e-d56337a0340d	TCGA-DX-A1L1-01A-11R-A24X-07
ts107	7dca7c9e-d920-4bf5-84ba-bc978f57c0d8	TCGA-FD-A5BR-01A-11R-A26T-07
ts108	e068d440-ccf6-4a67-8c6f-743178120f08	TCGA-B0-5697-01A-11R-1541-07
ts109	b8aaef10-2b55-411b-870d-a54ea37184ed	TCGA-BP-4158-01A-02R-1289-07
ts110	8ea2381d-7c94-42ef-9f5f-3b46c2c71a3f	TCGA-DB-5277-01A-01R-1470-07
ts111	699e00b4-82bd-4ed6-8ff4-ad511e0684c8	TCGA-05-5423-01A-01R-1628-07
ts112	df42f5dd-5dad-4a26-9f20-7ca40c6d6ed9	TCGA-BP-4970-01A-01R-1334-07
ts113	34f8151d-0376-4031-aa97-6758b6912cd8	TCGA-WC-A884-01A-11R-A405-07
ts114	bd7f0212-7a22-4b76-b5ed-f7879bad4c6b	TCGA-EB-A4P0-01A-41R-A266-07
ts115	207a9375-8b6d-4a16-8a19-2ce39be2d1dd	TCGA-A7-A3J0-01A-11R-A213-07
ts116	d208154c-1d1a-4650-9d7d-91784b96f9e7	TCGA-YL-A9WH-01A-11R-A37L-07
ts117	86c2909e-aa4c-43b7-a515-203087ca10c7	TCGA-YD-A9TA-06A-11R-A39D-07
ts118	52adbce5-4285-4e93-95f4-646cf88c520d	TCGA-43-2578-01A-01R-0851-07
ts119	d6395021-f46b-411d-8091-7ae761f5e191	TCGA-CR-6487-01A-11R-1873-07
ts120	6d6e1408-7136-417e-9c18-c21d20593866	TCGA-D1-A17M-01A-21R-A12I-07
ts121	7f213bf2-afa1-45b8-9b10-013fa9cad5d1	TCGA-AC-A2FM-11B-32R-A19W-07
ts122	decf56c8-2ecd-4b85-845e-603b65a1cf07	TCGA-2J-AAB9-01A-11R-A41B-07
ts123	37caa20b-d21b-45fc-85ca-10307d2e35ba	TCGA-S9-A7IX-01A-12R-A34F-07
ts124	fccb15d7-c3ea-4948-8d28-1e497724ada2	TCGA-92-7341-01A-31R-2045-07
ts125	6931c8ff-99d9-49be-997e-de08124f4150	TCGA-EM-A3FJ-01A-11R-A21D-07
ts126	022ea997-f464-46d0-90ea-768101fb8191	TCGA-VS-A9UD-01A-11R-A42T-07
ts127	e3badbc2-0b84-41fa-beb3-e8ef486a572f	TCGA-5M-AATE-01A-11R-A41B-07
ts128	b8cc9bd3-a926-43ce-9c7c-eefc561cd94d	TCGA-AJ-A3OL-01A-11R-A22K-07
ts129	b7708ee9-c206-4caf-88f6-63eca6400506	TCGA-A8-A07R-01A-21R-A034-07
ts130	f2a35fda-23d8-4bbc-aa72-0ad2359824e5	TCGA-BH-A0HO-01A-11R-A034-07
ts131	bcfbdbc8-f786-4f36-819c-74c32f1aa7f7	TCGA-DD-A39Z-01A-11R-A213-07
ts132	d4b92e41-4010-499f-85f1-8b0b9ac543c7	TCGA-BQ-5890-11A-01R-1592-07
ts133	194fa6f2-499b-453f-95d0-a947596ff454	TCGA-E9-A248-01A-11R-A169-07
ts134	8ad1ca32-66b2-47ad-889b-73b3397e9a55	TCGA-AR-A0U4-01A-11R-A109-07
ts135	c0e7d08d-76fa-418e-b527-6fe83da884e0	TCGA-NC-A5HE-01A-11R-A26W-07
ts136	558aa6d9-e212-4a49-96fd-39733b9b4896	TCGA-DX-A6BB-01A-12R-A32Q-07
ts137	235cad44-6128-4c85-8bfe-738045080db1	TCGA-C5-A901-01A-11R-A37O-07
ts138	f6cf2bb8-aea8-44c1-97d8-1e6a70a8ef6c	TCGA-A8-A09N-01A-11R-A00Z-07
ts139	138d4d9e-4af3-42fb-92f0-3ed6e8181b8c	TCGA-FG-A87Q-01A-11R-A36H-07
ts140	5083b54f-8143-4c43-9397-c0327a772f7c	TCGA-AP-A0LG-01A-11R-A16W-07
ts141	83bd59dd-9023-4b80-b246-115c3313bc01	TCGA-77-8145-01A-11R-2247-07
ts142	b04be3e3-fc9e-405b-b6b8-f7dc368777cc	TCGA-FU-A3WB-01A-11R-A22U-07
ts143	9e74ed10-91aa-44b7-9d04-7acb5d40fd85	TCGA-EB-A44Q-06A-11R-A266-07
ts144	8ad2dad3-a927-49ce-b2aa-05d5f53d9b82	TCGA-MN-A4N5-01A-11R-A24X-07
ts145	b4ed3833-ad24-4c7b-9ccc-ce361f5e940e	TCGA-AG-A01N-01A-01R-A00A-07
ts146	54fc18ac-3e29-4709-a4e0-2a6d0fe43148	TCGA-DK-AA6X-01A-12R-A42T-07
ts147	421fdb5b-d34d-419d-bf61-ebb8c413c57d	TCGA-A8-A09A-01A-11R-A00Z-07
ts148	f7e127f7-ecdb-40fd-bb20-2d703978f3d3	TCGA-AX-A1CK-11A-11R-A137-07
ts149	4be88af9-5469-4b10-8143-5877fe091647	TCGA-TM-A84R-01A-21R-A36H-07
ts150	7bf1f6a7-1e72-4330-b953-94ca7a1f81f1	TCGA-CQ-5331-01A-02R-1873-07
ts151	b3cf2219-60bf-4001-b8a8-ff7b7390363e	TCGA-S7-A7WL-01A-11R-A35L-07
ts152	13500a1c-7cb7-4759-83d5-3b34881a34eb	TCGA-A6-3808-01A-01R-1022-07
ts153	6501f05b-6ab5-48f7-a014-9a3d605561aa	TCGA-WB-A81W-01A-11R-A35L-07
ts154	7b33e048-95e7-43f9-a33b-8a73d47dafdd	TCGA-DJ-A1QO-01A-11R-A14Y-07
ts155	b710566c-9dcc-46fa-ac5e-13268cf16334	TCGA-V9-A7HT-01A-11R-A33Z-07
ts156	6e13857a-6698-4e4a-ab46-80a380866e89	TCGA-86-8074-01A-11R-2241-07
ts157	afff2215-f3ed-48a3-9719-fc8e7f1fe6f5	TCGA-CH-5750-01A-11R-1580-07
ts158	6c36a436-2ed6-49a0-a498-88a48503136e	TCGA-DC-6158-01A-11R-1660-07
ts159	706a6adb-f40b-4d28-aefc-c5804c14310f	TCGA-UE-A6QU-01A-12R-A32Q-07
ts160	16996d19-a008-453e-bacd-cde14c36624e	TCGA-AG-3896-01A-01R-1119-07
ts161	cd481560-53e3-4690-bdf4-a57d879de2b3	TCGA-HU-A4GH-11A-11R-A36D-31
ts162	c7771e6c-2845-4165-b838-a2cfb0d81f8d	TCGA-XM-A8RG-01A-11R-A42C-07
ts163	dd5ecc75-f3dc-48ac-8b2e-58f3f52c5f2f	TCGA-EL-A3T7-11A-21R-A22L-07
ts164	1f38c41b-45c8-4da4-86fc-32f101d28c69	TCGA-BR-8365-01A-21R-2343-13
ts165	41a85abf-47a4-40c2-8c91-09280cbab02a	TCGA-B0-5097-01A-01R-1420-07
ts166	34e82f86-8232-4e31-8d54-3a931fe0be57	TCGA-CN-4741-01A-01R-1436-07
ts167	2fb5d86e-3c24-48f2-ba02-62601bf4ce1b	TCGA-92-8063-01A-11R-2247-07
ts168	033252e2-3b39-4642-80d3-1e27cf88e194	TCGA-CJ-4868-01A-01R-1305-07
ts169	0a782ae3-cef6-4211-bd26-6f42895031ba	TCGA-ZB-A964-01A-11R-A42S-07
ts170	50e62cc8-cdf0-4ece-ac9b-3dd241eba609	TCGA-XF-A9SK-01A-11R-A42T-07
ts171	d8816024-1816-420c-8936-75e1d8f0dbd2	TCGA-13-0766-01A-02R-1564-13
ts172	309f3c7d-12c2-486f-a556-fd47232df9f2	TCGA-A2-A4S3-01A-21R-A266-07
ts173	4aadaf0f-10b8-42d4-b468-b6c45b7213f5	TCGA-A7-A4SA-01A-11R-A266-07
ts174	4c442333-7489-4a11-ad9f-9bfc9d88ecc0	TCGA-3B-A9HY-01A-11R-A39D-07
ts175	959d6cd8-9fae-4c40-9488-ef94bc23e95b	TCGA-BA-6872-01A-11R-1873-07
ts176	6df32c33-80d9-4717-8cd1-a57e5c531da8	TCGA-D6-A6EQ-01A-11R-A31N-07
ts177	15be62db-7325-41bc-9b99-f37125e14d97	TCGA-2Z-A9JJ-01A-11R-A42S-07
ts178	73bcabcc-ce44-40b3-90de-05ccd2a2dcd8	TCGA-HU-8244-01A-11R-2343-13
ts179	c0d693d1-4075-45e8-8795-eba0f2c8f583	TCGA-E6-A8L9-01A-21R-A37O-07
ts180	1a52f9d7-56ba-4340-b86f-da69f3b90b5d	TCGA-63-A5MN-01A-22R-A27Q-07
ts181	fc50c8e5-af63-4e45-a158-0d7239b42102	TCGA-EM-A2CP-01A-11R-A180-07
ts182	6bc9e893-447c-4188-b67b-f6cc26fdfd74	TCGA-SN-A84X-01A-11R-A431-07
ts183	73058e50-906c-4e84-a207-dd7f9a65c84a	TCGA-VQ-A92D-01A-11R-A414-31
ts184	672b751f-383f-4300-baba-a81fa2c333ad	TCGA-BH-A18J-01A-11R-A12D-07
ts185	be2aa1a5-c6d6-4faf-8c50-385762a2b22b	TCGA-D3-A3CF-06A-11R-A18T-07
ts186	1fc29faf-d148-464e-98c5-7d037bf1e995	TCGA-CR-7394-01A-11R-2016-07
ts187	11a28b58-cc98-47dc-8652-dbb774c21a81	TCGA-2G-AALS-01A-12R-A430-07
ts188	87def761-45cb-4cc6-b3dc-1b524702e519	TCGA-DJ-A2PR-01A-11R-A19O-07
ts189	a1dde794-445d-43d5-9b22-c159e9151714	TCGA-16-1045-01B-01R-1850-01
ts190	cdf83522-d571-4b6f-9d3d-3a19941e0f7e	TCGA-AB-2990-03B-01T-0748-13
ts191	ee051def-a2b8-4b49-8273-855aae333928	TCGA-BP-5175-01A-01R-1426-07
ts192	97933cc1-81b1-4736-95f7-6d509e875b29	TCGA-CR-6481-01A-11R-1873-07
ts193	7e6581d3-faf3-41b6-bdd0-0012dba5d27f	TCGA-CC-A3MB-01A-11R-A213-07
ts194	78195229-848e-4735-ac04-865d18600ad2	TCGA-24-1846-01A-01R-1567-13
ts195	efd395ce-1057-462a-a4d7-7042031fed7f	TCGA-AF-3911-01A-01R-1736-07
ts196	15027ffc-aefb-46c9-a465-3cb0e2864b99	TCGA-FY-A3I4-01A-11R-A21D-07
ts197	bcac572d-cff9-4e0e-ac84-2a28d0c5df5b	TCGA-FI-A2CY-01A-11R-A17B-07
ts198	433ab0ee-fd95-4cfc-8ceb-c948ebdc4567	TCGA-VS-A8QC-01A-11R-A37O-07
ts199	f43220be-dd8d-4f7b-9429-c8ba02a7f2fe	TCGA-FF-8061-01A-11R-2213-07
ts200	16bf9658-0679-4197-9b6b-27e4acd15b70	TCGA-56-7822-01A-11R-2125-07
ts201	f88cd128-c0a2-42a6-8be2-28c3a0c2c720	TCGA-DU-5872-01A-11R-1708-07
ts202	b3f61371-2bdb-4a6d-a19b-228317e7c5ab	TCGA-60-2724-01A-01R-0851-07
ts203	72e27d30-7c14-4d2d-98dd-7208e9cd3f20	TCGA-AC-A5EH-01A-11R-A28M-07
ts204	c80bb4c4-f75f-44d0-8225-7b37bc10fd4e	TCGA-5P-A9KA-01A-11R-A42S-07
ts205	e8f06a48-e1fd-4b72-b9de-608f8e607844	TCGA-UB-AA0V-01A-11R-A38B-07
ts206	3f5db931-1844-42e6-ab69-54f851b34693	TCGA-KN-8419-11A-01R-2315-07
ts207	48a058cb-5520-4bd2-a588-ac71301646b7	TCGA-CM-6676-01A-11R-1839-07
ts208	0c48cf3a-2014-4b88-bd61-e2d3fb07cbf8	TCGA-57-1583-01A-01R-1566-13
ts209	b36f3008-761f-4633-8078-d26cbe66ff5f	TCGA-VS-A9UP-01A-11R-A42T-07
ts210	50ebfebe-399f-4d75-ac54-a061d69251a7	TCGA-FV-A3R2-01A-11R-A22L-07
ts211	06ec0937-c615-4e28-8f23-4257acf5677a	TCGA-DU-A7TD-01A-12R-A34F-07
ts212	951205f0-4db4-4b15-bad4-6b5a55fbf6d7	TCGA-FS-A4F0-06A-11R-A24X-07
ts213	5db7bca7-dda0-42a2-a1b4-2821496f9c74	TCGA-13-0901-01B-01R-1565-13
ts214	6ad3736a-3472-4725-b642-a749ee711f37	TCGA-FA-A6HN-01A-11R-A31O-07
ts215	e24da3b9-ffa6-434f-9c92-0aabee9d75a6	TCGA-60-2714-01A-01R-0851-07
ts216	770540eb-62ea-452e-97ea-579264af8e05	TCGA-BP-4342-01A-01R-1289-07
ts217	b460a560-83bf-4a6e-9fa3-0916f3931f85	TCGA-F4-6703-01A-11R-1839-07
ts218	336e55a4-1afb-46c3-8892-78a938c1e2c8	TCGA-E6-A2P8-01A-11R-A19W-07
ts219	11391e2f-48be-45df-ac1a-33eea02b850f	TCGA-F2-A44G-01A-11R-A26U-07
ts220	7ea45803-92c5-482c-8381-f86adad9d4de	TCGA-JX-A3Q0-01A-11R-A32Y-07
ts221	431425f7-72c3-475a-8f09-eb9ad59a5310	TCGA-BH-A0W5-01A-11R-A109-07
ts222	0e82382d-e0a5-402c-8708-74d5c4e2b4b7	TCGA-A8-A081-01A-11R-A00Z-07
ts223	ebf37047-0cc2-4009-89da-faf7345c054d	TCGA-DU-7014-01A-11R-2027-07
ts224	a47f732f-97f3-40d4-931b-aac374165ed2	TCGA-29-1785-01A-01R-1567-13
ts225	fd71951d-3499-46c5-8e70-8d99cc2c5a0b	TCGA-DU-A5TU-01A-11R-A28M-07
ts226	d133b032-2aa4-479f-a7dc-fb2ff354df15	TCGA-BH-A0E6-01A-11R-A034-07
ts227	d0740a42-c0b9-44cc-9239-a109786f5b0c	TCGA-13-0799-01A-01R-1564-13
ts228	b28997c9-fa4c-4290-981f-57c593706d5a	TCGA-A6-2681-01A-01R-1410-07
ts229	0900a4c2-8e3d-48be-978b-5507dbcad22c	TCGA-F1-6177-01A-11R-1802-13
ts230	3f453e65-4109-4264-9851-edec9375973c	TCGA-GF-A2C7-01A-11R-A18T-07
ts231	05ac45ea-be90-486c-a67b-677bdd226c90	TCGA-KK-A8IH-01A-11R-A36G-07
ts232	417412dc-53b1-45ac-afc0-03345325593c	TCGA-EA-A3HU-01A-11R-A213-07
ts233	f162af71-0149-4341-b369-743a87a75f8d	TCGA-A8-A0A6-01A-12R-A056-07
ts234	d91f1258-26b7-43b2-b87b-29c1654326a2	TCGA-22-1002-01A-01R-0692-07
ts235	80380cf6-7e4a-400f-914a-29ea120a7ed0	TCGA-F5-6810-01A-11R-1830-07
ts236	6ce55de3-dd7e-443a-8fa6-dba08e2ac8f2	TCGA-AO-A03P-01A-11R-A00Z-07
ts237	ecff4736-f978-49c7-b9d1-f687e412539e	TCGA-BC-A10T-11A-11R-A131-07
ts238	6f2cac54-880b-46b7-9fae-7ccb269a29a9	TCGA-2Y-A9HB-01A-11R-A39D-07
ts239	8c4fe777-aee2-43e3-9f7f-ff21261e875e	TCGA-A6-5657-01A-01R-A32Z-07
ts240	d993ce5d-ac1b-4205-99f2-a17a5599526e	TCGA-PA-A5YG-01A-11R-A29S-07
ts241	05149a6a-9498-46a3-ae7f-4a6289dd6173	TCGA-DZ-6133-01A-11R-1965-07
ts242	fdbedcd0-d225-4f3b-9faa-4f24d627902b	TCGA-A8-A07E-01A-11R-A034-07
ts243	66ec6a55-e324-4d3b-a1fe-215ec7373304	TCGA-BR-8588-01A-11R-2402-13
ts244	07b53428-01cd-48f8-aee2-8dc47e84ccee	TCGA-IA-A40Y-01A-11R-A24Z-07
ts245	3b7f5bb5-7ba6-4325-b7bb-c15f144a1da2	TCGA-AC-A23G-01A-11R-A213-07
ts246	63023c5f-4a5f-48c3-84af-1c7d7abdb4a4	TCGA-18-4086-01A-01R-1100-07
ts247	b777de03-58fb-44b9-91a9-84bf133d1e38	TCGA-CR-7399-01A-11R-2016-07
ts248	8b0d53e6-9794-43a9-997c-b18369e2fb6a	TCGA-73-7498-01A-12R-2187-07
ts249	40ac6764-5828-4efe-b991-4e0ee753342e	TCGA-TM-A84B-01A-11R-A36H-07
ts250	fbe5bc6b-df48-4583-b3cf-012b23b58630	TCGA-B0-5707-01A-11R-1541-07
ts251	73cdc20e-c7a3-4ce4-a9d6-642ae6d57e9d	TCGA-KN-8437-01A-11R-2315-07
ts252	3b5c4168-5697-4217-8fdb-f7c83ac982ed	TCGA-R6-A8W5-01B-11R-A37I-31
ts253	ee9268fc-322f-4fa4-81ea-421459fd83d7	TCGA-BR-6709-01A-11R-1884-13
ts254	c4a5e8a4-0122-4e1d-9eb7-a18b813950cc	TCGA-28-2499-01A-01R-1850-01
ts255	07af5d21-ad22-4ec4-ac08-54cd426dd028	TCGA-BP-4795-01A-02R-1420-07
ts256	cdc8f006-0427-4df6-b9ec-53ad3b2d12c3	TCGA-DX-A23V-01A-11R-A29R-07
